category,company,location,start_date,duration,stipend,apply_by,applicants,skills_required,perks,openings,link
Library Science,Karytron Electricals Private Limited,"Work From Home,",Immediately,1 Month,Unpaid,23 Jan' 23,0.0,"Bengali Proficiency (Written),Gujarati Proficiency (Written),Hindi Proficiency (Written),Kannada Proficiency (Written),Marathi Proficiency(Written),Tamil Proficiency (Written),Telugu Proficiency (Written),","Certificate,",12.0,https://internshala.com/internship/detail/library-science-work-from-home-job-internship-at-karytron-electricals-private-limited1673126595
Human Resources (HR),Indian Awaz Foundation,"Work From Home,",Immediately,3 Months,Unpaid,23 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2.0,https://internshala.com/internship/detail/human-resources-hr-work-from-home-job-internship-at-indian-awaz-foundation1673117389
Social Media Marketing,Embrace Learning Foundation,"Work From Home,",Immediately,3 Months,Unpaid,23 Jan' 23,0.0,"Content Marketing,Digital Marketing,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer,",4.0,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-embrace-learning-foundation1673244601
Campus Ambassador,Commondove,"Work From Home,",Immediately,1 Month,Performance Based,23 Jan' 23,43.0,,"Certificate,Flexible work hours,",25.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-commondove1673077842
General Management,Adore India,"Work From Home,",Immediately,3 Months,Unpaid,23 Jan' 23,0.0,,"Certificate,Flexible work hours,",18.0,https://internshala.com/internship/detail/general-management-work-from-home-job-internship-at-adore-india1673182433
Social Work,Umeed Charitable Trust,"Kota, Mohali, Mumbai,",Immediately,6 Months,Unpaid,23 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,",20.0,https://internshala.com/internship/detail/social-work-internship-in-multiple-locations-at-umeed-charitable-trust1673181818
Social Media Management and Marketing,Swabhiman (State Disability Information And Resource Center),"Work From Home,",Immediately,3 Months,Unpaid,22 Jan' 23,0.0,,"Certificate,Letter of recommendation,",1.0,https://internshala.com/internship/detail/social-media-management-and-marketing-work-from-home-job-internship-at-swabhiman-state-disability-information-and-resource-center1673193682
Teaching/Field Work Volunteering,Raksh Foundation,"Noida,",Immediately,2 Months,Unpaid,22 Jan' 23,0.0,"English Proficiency (Spoken),Hindi Proficiency (Spoken),Mathematics,","Certificate,Letter of recommendation,",4.0,https://internshala.com/internship/detail/teaching-field-work-volunteering-part-time-job-internship-at-noida-in-raksh-foundation1673118481
Fundraising,XcitEducation Foundations,"Work From Home,",Immediately,3 Months,Unpaid,22 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",20.0,https://internshala.com/internship/detail/fundraising-work-from-home-job-internship-at-xciteducation-foundations1673103447
Project Development,Jharkhand Mahila Jagriti,"Work From Home,",Immediately,2 Months,Unpaid,22 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",4.0,https://internshala.com/internship/detail/project-development-work-from-home-job-internship-at-jharkhand-mahila-jagriti1673103088
